,dots-comparison_IES_correct,match-sample_IES_correct,match-sample-rotate_IES_correct,match-points-number_IES_correct,symbolic-magnitude_IES_correct,numeric-line_IES_correct,counting_IES_correct,counting-true_IES_correct,simple-arithmetic-plus_IES_correct,simple-arithmetic-minus_IES_correct
0,1283.3,3697.7343749537786,3501.6666666666665,2163.827160493827,1206.5,3946.6666666666665,1664.0156249791999,1570.7253085634393,1306.5,1483.95
2,4099.0,7052.142856941367,6227.555555555556,4376.79012345679,2011.7,14560.15625,3671.222222222222,3758.315789473684,,4018.35
4,2945.5555555555557,11099.250001109924,11763.750001176373,4167.6,2964.7,11088.163265306122,11852.444444444445,20034.322314778106,13004.691358024691,12631.85185185185
5,1037.1604938271605,3234.234374959572,3308.4444444444443,2201.7,1163.4,3709.21875,1514.111111111111,1364.6842105263158,1798.148148148148,1599.0581717451525
6,1399.1,4397.693877425372,3352.0,1649.5061728395062,821.1,3319.591836734694,1270.111111111111,1185.3684210526317,1303.5,1295.95
7,1177.530864197531,4275.562499946555,4083.8888888888887,2478.2,1011.3,2499.2592592592596,1647.2222222222222,1638.9473684210527,1466.5,1739.7
8,1224.0,4065.187499949185,3231.8888888888887,1756.7,898.6,,1663.6666666666667,1731.7368421052631,2129.6,1959.8
9,1319.7,3152.6666666666665,3855.6666666666665,1821.71875,1031.9,3307.9,1349.999999983125,1950.7253085444393,1833.827160493827,1871.3573407202218
12,1231.1,4248.562499946893,3454.0,4044.5,836.3,2123.3,2146.6666666666665,2152.2631578947367,1354.7,1288.5
13,702.0,3999.4999998000253,3713.142857036767,1146.326530612245,791.1,1854.9,1889.4444444444443,2086.1296295253233,1335.0,1491.1
14,1044.074074074074,4433.326530485579,4250.99999978745,2335.5102040816328,1182.962962962963,3247.7,7824.0000007824,9808.749999509562,3745.0,7099.444444444445
15,1165.4,4578.468749942769,3356.4444444444443,2676.2,880.0,,1329.6666666666667,1259.421052631579,1458.3950617283951,1378.5595567867035
16,1940.4,4441.959183546556,3877.0,3290.4,1105.0,,4913.437499938583,,5251.40625,8400.761245674741
17,1593.6,4139.437499948257,3394.4444444444443,2561.7,1014.1,3038.4,5012.437499937345,5332.425605567699,3084.0,4139.05
19,2467.1,6571.9999996714,4811.333333333333,2729.3,1590.8641975308642,7003.5,4106.109374948674,,3819.2,4794.55
20,1471.4,5100.244897813462,5669.249999716538,,1084.2,4604.0625,3683.953124953951,3202.320987494205,2395.0,3121.25
22,1806.1,4298.062499946274,6696.562499916294,3854.53125,1430.8,4882.592592592592,3590.015624955125,3095.0648146600615,4002.7,5275.567867036012
23,1842.0987654320988,9752.399999219808,3515.1111111111113,2412.2,1163.7,4729.382716049383,3419.0156249572624,3006.280864047217,3049.7,3506.2603878116342
25,2031.1,5747.444444444444,4322.111111111111,2764.8,1582.5,5452.83950617284,2729.2499999658844,,3079.3,4905.95
26,1379.5,3409.3333333333335,3209.777777777778,,1022.6,3102.1,3052.469387667889,3067.8320310966083,2055.6,2709.938271604938
27,3331.1,8183.9999995908,5870.333333333333,,,6268.611111111111,5005.406249937433,4578.802768193024,8358.27160493827,7004.875346260388
28,4115.1,5148.214285567194,8783.249999560838,,1536.0,5117.2,4176.562499947793,4647.317901002202,6910.5,8579.100346020761
29,2101.2,5536.968749930788,3816.0,2972.4,1601.0,7847.222222222222,4475.020408035407,4269.937716288093,4336.8,6013.019390581718
30,1658.9,6880.408163068723,4394.555555555556,4073.1,1656.8,4014.3,2380.9218749702386,2459.092592469638,3368.6,4508.45
31,1770.0,4624.222222222223,3742.5555555555557,4158.6,1166.5,3209.3,5507.99999955936,3449.3866667126586,3950.617283950617,4985.0
32,1135.1,4064.6249999491924,4812.612244760456,3175.625,1134.6,7258.90625,2513.531249968581,2513.219135676808,3118.641975308642,3729.938271604938
33,4845.0,8671.499999566426,4795.0,3482.0,1316.4,6743.580246913581,5407.199999567424,,2255.3,4126.65
34,,4028.1111111111113,4486.499999943919,3319.6,1103.1,6661.728395061728,3721.6666666666665,4244.789473684211,5853.8,6298.4
35,2866.5,6218.999999822314,4416.890624944789,3988.2716049382716,1233.1,4049.84375,2014.0,2358.3684210526317,3074.9,3324.8753462603877
36,3408.3,13203.450001320343,6821.699999658916,9663.4375,1984.6,20562.222222222223,4381.0,5368.145061459988,8761.358024691359,
37,2889.0,7704.703124903692,6380.85937492024,4257.6,1952.9,13883.333333333334,3398.222222222222,4058.7283948587924,5283.5,5071.75
38,2666.6,4622.906249942214,7780.249999610987,3421.8,1221.3,25150.0,3535.031249955812,3493.5017301243565,4648.75,5699.140625
39,1856.2,6838.749999658064,5034.515624937068,3262.8,1731.8,18725.625,4210.666666666667,4855.9134948382525,4145.5,5110.35
40,4473.7037037037035,7988.343749900147,4854.333333333333,4608.7,1819.1,7053.673469387755,5109.444444444444,5474.736842105263,19936.944444444445,14679.53125
41,3731.111111111111,7198.171874910024,6365.410714206147,5185.3,1582.1,5272.5,2949.8888888888887,3657.8947368421054,4681.8,6039.35
42,2699.7,4295.5,3959.0,3359.876543209876,1287.7,14653.333333333334,4030.1111111111113,4220.684210526316,3808.7,5038.95
43,2530.2,3863.222222222222,5027.765624937153,4466.8,1415.9,6329.876543209876,3047.1111111111113,4938.0,5815.7,7673.75
44,3971.111111111111,8312.625000831262,6478.346938590414,3404.375,1363.5,6551.944444444444,3513.5555555555557,3785.632715860101,4868.024691358025,5222.906574394463
45,1730.7,4497.328124943783,10012.679999198986,3410.6,1513.8,11695.0,2934.6666666666665,2899.7894736842104,3259.3827160493825,5918.2
46,2195.7,4587.214285583223,4522.959183544242,2999.444444444445,1572.0987654320988,7096.4,4529.666666666667,4889.802468891312,4556.79012345679,6045.925925925925
47,1367.2,11107.199999111424,6631.749999668414,4889.6,,5786.111111111111,4566.122448849132,4907.851211101533,3829.135802469136,4722.105263157895
48,1503.8,7329.375000732937,5294.571428420155,2889.876543209876,1418.7,14237.5,3555.5555555555557,5315.134948128151,4322.5,5415.0
49,1492.716049382716,11933.699999045302,7850.999999775685,6039.7,1815.3125,5036.049382716049,3205.4444444444443,3536.3667820277224,6599.753086419752,7590.969529085874
50,1856.0,4154.906249948064,6739.53061205234,5673.8,1288.7,30512.5,3663.777777777778,3882.4736842105262,,11849.795918367348
51,1831.5625,9448.199999244143,4258.2857142324865,3399.7,1408.0246913580247,30910.0,3343.4444444444443,2976.0,4183.6,5767.19723183391
52,2729.2,12162.750001216275,4446.562499944418,3751.358024691358,1507.7,51430.0,4162.111111111111,5497.861110836218,3200.78125,6580.306122448979
53,2236.1728395061727,4285.968749946425,4219.888888888889,5690.7,1877.1,12522.857142857143,4219.031249947262,4849.92592568343,3829.7,4336.05
54,2909.6,9443.159999244546,8817.000000881699,3817.9,1222.4,5986.7,3647.5555555555557,6173.422145365034,4313.9,4867.590027700831
55,2077.9,9758.700000975869,6126.979591661679,5238.765432098765,1835.7,24790.0,4327.444444444444,5565.631578947368,6451.8,7844.15512465374
56,6371.358024691358,6989.32653041255,6517.546874918531,4797.8,1478.1,,4420.111111111111,4236.526315789473,5798.0,7013.795013850417
57,2307.65625,4130.296874948372,4277.390624946533,2840.9375,1672.1,5156.9,3689.8163264251884,3686.9204152466014,2839.0,4418.58024691358
58,2628.125,4950.551020266719,5278.928571277745,3180.6,1659.5061728395062,52630.0,4090.1111111111113,,4782.0,6363.518518518518
59,5808.7,8356.928571189801,7323.59999963382,5056.4,1860.3,15282.5,6027.749999924654,6785.820312160709,8962.8,9716.75
60,1453.8,5601.214285554251,5500.469387597946,6726.734693877551,1641.4,7817.407407407408,6822.140624914724,5728.089505886435,10061.25,8384.814814814814
61,2182.5,17439.750001743974,10302.000001030201,6280.1,2313.3333333333335,6283.469387755103,6548.111111111111,6892.0,9579.9,16735.537190082643
62,2417.4074074074074,8320.2857138697,10867.4999991306,5205.2,1821.8,13839.0625,5110.555555555556,9216.21052631579,7971.604938271605,10582.382271468145
63,1295.432098765432,4972.959183531385,4310.999999946112,4644.567901234568,1808.5,21000.0,4252.3593749468455,4791.339843510433,2891.4,3743.95
64,4432.9,8038.499999598075,4214.109374947324,4790.6,1514.3,4012.9,4164.61224477897,3752.9930796068516,4869.9,4604.25
65,1086.5,3648.9374999543884,4315.66071416241,2345.46875,1045.2,2962.361111111111,1417.7777777777778,1650.0092591767589,1289.6,1526.55
66,3061.6,7754.749999612262,6258.673469208936,4218.9,1326.1,6368.775510204082,4553.296874943084,5380.9446367098535,4201.7,7381.328125
67,3968.5185185185182,5207.142856994082,5250.489795768353,7012.653061224491,1832.1,7249.876543209876,5515.3124999310585,7917.429011949808,8526.8,9412.1
68,7853.9,10639.499999468026,6342.061224308593,5800.4,1672.3,9571.000000000002,7175.111111111111,7644.684210526316,8782.098765432098,12402.271468144045
69,2983.0,6760.25,5908.017857069007,4379.4,2451.9,8014.285714285715,5847.3281249269085,5625.114197249609,7985.679012345679,8377.839335180055
70,1522.2,13982.999999300851,6452.816326346247,6667.4,2419.6,26660.0,5437.285714130363,4618.446366809174,6528.3,7976.1
71,1686.4,15570.000001556999,4332.234374945847,4435.7,2564.1975308641977,11898.75,9211.591836471505,8408.716263025242,18415.9375,15828.373702422146
72,1588.1,10465.649999162748,16571.39999917143,5042.8,1709.7,29540.0,3675.6666666666665,7184.103806270633,10372.8,11044.54293628809
73,7463.6,15349.24999923254,7621.9999996189,4868.3,2458.0,17871.666666666668,4413.444444444444,6520.968888975835,8420.204081632653,14517.244444444443
74,3411.6,21295.0000021295,8390.159999328787,8320.6,2565.8024691358023,12236.666666666668,5138.333333333333,5912.8421052631575,7199.8,9413.573407202217
75,2864.444444444445,10244.250001024426,5074.79999974626,3322.5925925925926,1162.8,6958.5,3236.8888888888887,5217.231111180675,9511.875,24817.777777777777
76,1707.4,6431.374999919608,11503.799999079696,5187.4,1506.5,21354.8,4223.333333333333,4496.631578947368,7414.7,11272.4
77,13216.04938271605,9436.77550993446,11188.349999104932,5997.0,2579.0123456790125,26373.333333333336,8885.387754848172,10958.324218202084,15627.65625,16953.68888888889
78,1898.9,7688.699999384904,13411.50000134115,3527.5,1871.3,17683.333333333336,5344.453124933195,10986.749999450662,12438.024691358025,
79,4664.320987654321,6352.530612063398,9304.249999534788,8023.28125,1878.3950617283951,6666.5625,4600.444444444444,4537.1578947368425,8125.6,11654.532871972318
80,2626.7,9363.937500936394,16600.50000166005,3095.0,2537.2,7034.897959183674,11004.749999449763,10633.79861057942,14166.0,28332.0
81,3409.3,,5379.979591683021,4805.4,1962.4,11246.875,4190.666666666667,4666.421052631579,9530.6,15537.451523545707
82,,6809.759999455218,11700.562501170056,5803.6,1723.4,14161.25,4791.666666666667,4828.684210526316,6177.1875,9938.57142857143
83,2970.3,8052.428571198502,7006.499999649675,5558.0,1852.8,10617.95918367347,3935.5555555555557,5292.6141972662335,11747.6,11429.45
84,5296.666666666667,6675.642856809076,12621.60000126216,4570.833333333334,2137.6543209876545,36017.77777777778,5249.333333333333,6119.0,7366.8,10079.238754325259
85,4602.7,15740.549998740755,8262.499999586875,5311.2,1531.5,13547.380952380952,3952.6666666666665,4462.526315789473,4537.7,7056.675900277009
86,3768.2,8997.97959157965,4946.222222222223,4940.9876543209875,2080.6,10517.222222222223,6449.555555555556,8410.783950196745,10311.9,9630.304709141274
87,19639.1,5890.959183505157,11878.199999049744,7081.1,4355.802469135802,22990.0,9832.333333333334,17749.79999911251,13055.7,26111.4
88,1907.6,7764.750000776475,10528.875001052887,4994.84375,1820.8,8658.75,14049.562501404955,29660.18749851699,3753.90625,7507.8125
89,1981.6,5898.749999705063,3962.125,5220.5,3008.9,15277.5,7539.428571213159,16463.148149062767,16424.814814814814,32681.4
90,5121.8,8807.99999929536,3918.3749999510205,3361.9,1586.9,6125.277777777777,6669.8437499166275,8311.679011930095,8571.851851851852,15914.027777777777
91,1862.3,5405.62499993243,9964.50000099645,5757.8125,2095.3086419753085,7315.714285714286,5670.555555555556,6190.422839196652,8966.9,17933.8
92,2612.0408163265306,10947.750001094775,5645.159999548387,5210.833333333334,6851.875,5116.913580246914,6193.1249999225865,10468.32544402856,14902.5,28035.30864197531
93,4317.16049382716,5624.999999839286,5398.874999932515,10602.77777777778,3179.0,18676.5,41019.83999671841,41131.041664610115,39316.38888888889,76552.6530612245
94,3662.8395061728397,22871.250002287125,16767.0000016767,9320.3,7608.75,11270.0,6612.111111111111,9207.21052631579,37814.375,64808.8
95,5214.567901234568,13936.50000139365,4422.299999778885,5097.16049382716,1802.5,15618.75,5997.374999925033,5759.892733597896,7497.6,14591.25
96,2357.037037037037,5501.888888888889,3853.3333333333335,5396.79012345679,2124.3,13610.8,6017.333333333333,6229.1578947368425,10225.6,25474.049586776855
97,2744.0,15792.000001579201,4386.214285659458,4970.9,2640.2469135802467,5597.777777777777,6234.0,10195.726561990214,20181.6,37174.54545454545
98,6211.224489795919,17034.299999148287,17129.09999862967,9396.913580246914,10710.625,84410.0,18644.62500186446,25514.285716472652,39523.75,79047.5
99,1869.5,22762.50000227625,13912.559998886994,5715.625,2223.58024691358,6919.387755102041,9478.102040545524,9664.704142234867,6622.9,9416.428571428572
100,1516.0,34384.50000343845,5797.439999536205,4854.2,2154.7,8583.6,3871.6666666666665,5124.214532902115,21547.6,43095.2
101,1835.8,8294.399999336447,5794.897959018104,4347.16049382716,1886.4,7012.222222222222,9125.265305861727,8853.013840882526,12303.0,24606.0
102,3295.9,7824.149999374067,6626.99999966865,6044.9,2468.9,15045.0,5121.777777777777,6903.802468790613,18784.320987654322,26367.916666666668
103,2863.75,19754.10000197541,9974.250000997425,7439.876543209876,15442.777777777777,12142.592592592593,6815.666666666667,17906.180554660245,22597.777777777777,45534.07407407407
105,1996.8,5907.306122280199,5649.249999717537,5910.123456790124,2108.5185185185187,5230.555555555556,4677.0,6918.449218404077,10330.0,20660.0
106,1979.9,6542.156249918224,8595.562500859556,5306.419753086419,3791.25,4948.367346938776,6165.555555555556,7937.0,11113.2,26842.148760330576
107,1938.888888888889,6766.499999661675,6982.559999441394,6684.938271604938,1231.2,17046.666666666668,4716.222222222223,5373.315789473684,6441.3,8711.191135734072
108,2950.2,4744.1249998644535,,6127.777777777777,2011.5,5310.246913580248,5798.222222222223,10782.880000143772,,43960.0
109,5434.2,6644.5714282392,8672.250000867225,5080.9,3071.7283950617284,21052.5,7769.111111111111,9541.105263157895,13072.77777777778,23146.5306122449
110,5863.26530612245,6169.821428395147,25672.50000256725,,1741.2,23067.777777777777,5889.666666666667,6048.685184882751,8568.59375,20108.355555555554
